0.307: [Full GC 0.307: [Tenured: 130K->142K(1408K), 0.0042028 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042606 secs]
0.311: [Full GC 0.311: [Tenured: 142K->118K(1408K), 0.0043768 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044399 secs]
0.316: [Full GC 0.316: [Tenured: 118K->130K(1408K), 0.0044397 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045000 secs]
0.321: [Full GC 0.321: [Tenured: 130K->130K(1408K), 0.0044302 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046039 secs]
0.326: [Full GC 0.326: [Tenured: 130K->142K(1408K), 0.0041782 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042369 secs]
0.331: [Full GC 0.331: [Tenured: 142K->118K(1408K), 0.0046816 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047459 secs]
0.335: [Full GC 0.335: [Tenured: 118K->130K(1408K), 0.0042030 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042642 secs]
0.340: [Full GC 0.340: [Tenured: 130K->130K(1408K), 0.0043668 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044296 secs]
0.345: [Full GC 0.345: [Tenured: 130K->142K(1408K), 0.0041804 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042391 secs]
0.350: [Full GC 0.350: [Tenured: 142K->118K(1408K), 0.0044413 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047967 secs]
0.354: [Full GC 0.355: [Tenured: 118K->130K(1408K), 0.0042058 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042648 secs]
0.360: [Full GC 0.360: [Tenured: 130K->130K(1408K), 0.0044008 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044648 secs]
0.364: [Full GC 0.364: [Tenured: 130K->142K(1408K), 0.0044757 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045358 secs]
0.369: [Full GC 0.369: [Tenured: 142K->118K(1408K), 0.0043790 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044416 secs]
0.374: [Full GC 0.374: [Tenured: 118K->130K(1408K), 0.0041913 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042511 secs]
0.379: [Full GC 0.379: [Tenured: 130K->130K(1408K), 0.0047227 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047869 secs]
0.383: [Full GC 0.383: [Tenured: 130K->142K(1408K), 0.0041863 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042450 secs]
0.389: [Full GC 0.389: [Tenured: 142K->118K(1408K), 0.0045629 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046302 secs]
0.393: [Full GC 0.393: [Tenured: 118K->130K(1408K), 0.0044774 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045383 secs]
0.399: [Full GC 0.399: [Tenured: 130K->130K(1408K), 0.0045757 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046428 secs]
0.404: [Full GC 0.404: [Tenured: 130K->142K(1408K), 0.0042017 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042606 secs]
0.409: [Full GC 0.409: [Tenured: 142K->118K(1408K), 0.0047813 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0048459 secs]
0.414: [Full GC 0.414: [Tenured: 118K->130K(1408K), 0.0042360 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042964 secs]
0.419: [Full GC 0.419: [Tenured: 130K->130K(1408K), 0.0043874 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044511 secs]
0.423: [Full GC 0.423: [Tenured: 130K->142K(1408K), 0.0041779 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042374 secs]
0.429: [Full GC 0.429: [Tenured: 142K->118K(1408K), 0.0044282 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044908 secs]
0.433: [Full GC 0.433: [Tenured: 118K->130K(1408K), 0.0041963 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042561 secs]
0.438: [Full GC 0.438: [Tenured: 130K->130K(1408K), 0.0043858 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044486 secs]
0.443: [Full GC 0.443: [Tenured: 130K->142K(1408K), 0.0044654 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045257 secs]
0.448: [Full GC 0.448: [Tenured: 142K->118K(1408K), 0.0043841 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044478 secs]
0.452: [Full GC 0.452: [Tenured: 118K->130K(1408K), 0.0041860 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042450 secs]
0.458: [Full GC 0.458: [Tenured: 130K->130K(1408K), 0.0048799 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0049487 secs]
0.463: [Full GC 0.463: [Tenured: 130K->142K(1408K), 0.0042315 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042930 secs]
0.468: [Full GC 0.468: [Tenured: 142K->118K(1408K), 0.0044050 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044696 secs]
0.472: [Full GC 0.472: [Tenured: 118K->130K(1408K), 0.0045444 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046053 secs]
0.477: [Full GC 0.477: [Tenured: 130K->130K(1408K), 0.0043916 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044550 secs]
0.482: [Full GC 0.482: [Tenured: 130K->142K(1408K), 0.0041807 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042402 secs]
0.487: [Full GC 0.487: [Tenured: 142K->118K(1408K), 0.0046802 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047436 secs]
0.492: [Full GC 0.492: [Tenured: 118K->130K(1408K), 0.0042067 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042653 secs]
0.497: [Full GC 0.497: [Tenured: 130K->130K(1408K), 0.0044067 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044707 secs]
0.501: [Full GC 0.501: [Tenured: 130K->142K(1408K), 0.0041824 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042419 secs]
0.506: [Full GC 0.506: [Tenured: 142K->118K(1408K), 0.0044036 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044679 secs]
0.511: [Full GC 0.511: [Tenured: 118K->130K(1408K), 0.0041868 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042447 secs]
0.517: [Full GC 0.517: [Tenured: 130K->130K(1408K), 0.0051333 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0052076 secs]
0.522: [Full GC 0.522: [Tenured: 130K->142K(1408K), 0.0042626 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0043232 secs]
0.527: [Full GC 0.527: [Tenured: 142K->118K(1408K), 0.0044050 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044707 secs]
0.532: [Full GC 0.532: [Tenured: 118K->130K(1408K), 0.0041902 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042489 secs]
0.537: [Full GC 0.537: [Tenured: 130K->130K(1408K), 0.0046752 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047397 secs]
0.542: [Full GC 0.542: [Tenured: 130K->142K(1408K), 0.0041924 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042517 secs]
0.546: [Full GC 0.546: [Tenured: 142K->118K(1408K), 0.0043916 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044564 secs]
0.551: [Full GC 0.551: [Tenured: 118K->130K(1408K), 0.0045218 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045816 secs]
0.557: [Full GC 0.557: [Tenured: 130K->130K(1408K), 0.0045821 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046481 secs]
0.562: [Full GC 0.562: [Tenured: 130K->142K(1408K), 0.0041910 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042494 secs]
0.566: [Full GC 0.566: [Tenured: 142K->118K(1408K), 0.0047123 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047771 secs]
0.571: [Full GC 0.571: [Tenured: 118K->130K(1408K), 0.0042796 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0043413 secs]
0.576: [Full GC 0.576: [Tenured: 130K->130K(1408K), 0.0044176 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044816 secs]
0.581: [Full GC 0.581: [Tenured: 130K->142K(1408K), 0.0045048 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045654 secs]
0.586: [Full GC 0.586: [Tenured: 142K->118K(1408K), 0.0043846 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044492 secs]
0.591: [Full GC 0.591: [Tenured: 118K->130K(1408K), 0.0041933 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042517 secs]
